Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2022,66.1N,152.6W,35.5,,,,,145000000000.0,0.42
2021,69.7S,115.0E,44.0,22.0,7.4,-8.6,18.8,20000000000.0,0.073
2021,4.9S,29.6W,37.0,,,,,21000000000.0,0.076
2021,62.7N,60.3E,56.0,18.2,10.3,-7.1,-13.2,32000000000.0,0.11
2021,47.5S,172.6E,27.5,,,,,50000000000.0,0.16
2021,32.6N,113.5E,38.4,19.7,0.2,-2.2,-19.6,40000000000.0,0.13
2021,6.8S,119.1E,35.0,23.0,7.0,-18.3,-12.0,24000000000.0,0.086
2021,33.8S,7.7W,36.0,,,,,33000000000.0,0.11
2021,4.1S,138.7W,35.2,,,,,30000000000.0,0.1
2021,51.5N,51.4E,30.0,15.9,-14.1,-7.0,-1.9,37000000000.0,0.13
2021,13.8N,140.4W,28.0,,,,,60000000000.0,0.19
2021,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,20000000000.0,0.073
2021,53.9N,148.0W,28.0,21.2,-3.5,-9.0,-18.9,137000000000.0,0.4
2021,2.1S,111.8W,26.0,13.6,-4.4,6.9,10.9,31000000000.0,0.11
2021,7.8S,90.1E,63.0,,,,,146000000000.0,0.42
2021,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,37000000000.0,0.13
2021,,,,,,,,33000000000.0,0.11
2021,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,740000000000.0,1.8
2021,17.9S,55.3W,,,,,,23000000000.0,0.082
2021,52.1S,171.2W,37.0,,,,,38000000000.0,0.13
2021,34.7S,141.0E,31.0,26.6,9.6,-24.4,-4.6,21000000000.0,0.076
2021,12.3N,43.4W,,,,,,25000000000.0,0.089
2021,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,21000000000.0,0.076
2021,71.2N,106.7E,40.0,14.1,-8.9,6.3,-9.0,137000000000.0,0.4
2021,48.6S,90.4E,31.1,18.1,12.7,-4.7,12.0,141000000000.0,0.41
2021,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,39000000000.0,0.13
2021,9.2N,64.1W,,,,,,28000000000.0,0.098
2021,75.8N,92.8W,31.0,13.1,-5.2,6.3,-10.3,30000000000.0,0.1
2021,48.7N,80.1E,20.0,12.8,4.0,-6.7,-10.1,31000000000.0,0.11
2021,5.3N,115.2E,39.4,15.2,14.0,-5.8,1.7,267000000000.0,0.72
2021,38.8N,51.3W,30.0,14.3,-14.2,1.9,-0.6,77000000000.0,0.24
2021,38.5N,47.6W,19.1,,,,,75000000000.0,0.23
2021,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,61000000000.0,0.2
2020,14.9N,158.2W,33.0,14.4,-3.0,10.2,-9.7,49000000000.0,0.16
2020,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,57000000000.0,0.18
2020,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4898000000000.0,9.5
2020,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,26000000000.0,0.092
2020,30.5S,81.0W,,,,,,21000000000.0,0.076
2020,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,111000000000.0,0.33
2020,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,114000000000.0,0.34
2020,30.0N,71.9W,48.0,,,,,80000000000.0,0.25
2020,22.0N,133.5W,40.0,17.6,-9.4,14.1,-4.9,44000000000.0,0.15
2020,12.9N,150.2W,,,,,,22000000000.0,0.079
2020,29.7S,93.9W,39.0,,,,,27000000000.0,0.095
2020,48.6N,93.9E,40.7,,,,,21000000000.0,0.076
2020,11.4S,135.8W,36.0,16.4,15.6,1.5,4.9,36000000000.0,0.12
2020,2.4N,169.7W,46.0,11.7,10.2,2.9,-4.9,41000000000.0,0.14
2020,26.0N,133.5E,27.8,23.4,7.8,-21.7,3.7,64000000000.0,0.2
2020,35.1S,34.2W,38.0,11.1,0.5,6.0,9.3,74000000000.0,0.23
2020,20.0S,103.8W,36.0,,,,,22000000000.0,0.079
2020,51.8S,11.2W,31.6,14.1,-2.9,-1.0,-13.8,50000000000.0,0.16
2020,48.7S,74.0E,29.4,18.3,-5.0,-13.0,-11.9,75000000000.0,0.23
2020,40.8N,41.7E,29.3,14.9,-6.0,-7.3,-11.5,57000000000.0,0.18
2020,38.7S,77.2E,25.0,,,,,162000000000.0,0.46
2020,15.9N,174.2E,,,,,,83000000000.0,0.26
2020,7.2N,44.2W,52.5,,,,,41000000000.0,0.14
2020,44.8N,131.0W,31.2,14.5,-13.0,-4.0,-5.0,41000000000.0,0.14
2020,20.1N,109.4W,,,,,,21000000000.0,0.076
2020,12.5N,49.8W,,,,,,27000000000.0,0.095
2020,65.6S,45.6W,,,,,,20000000000.0,0.073
2020,38.3S,23.5E,26.5,20.7,-10.0,3.2,17.8,124000000000.0,0.37
2020,24.4S,67.9W,25.0,,,,,133000000000.0,0.39
2020,,,,,,,,25000000000.0,0.089
2020,53.3S,90.8E,24.3,19.8,-5.2,2.2,19.0,394000000000.0,1.0
2020,45.7N,15.1E,34.5,21.5,-18.2,-11.3,-2.1,115000000000.0,0.34
2020,3.6N,96.0W,,,,,,20000000000.0,0.073
2020,28.2N,76.7E,41.7,31.7,-27.8,-14.3,-5.2,27000000000.0,0.095
2020,30.4N,1.5E,32.5,19.8,-2.0,-16.6,-10.6,44000000000.0,0.15
2020,28.0N,35.8W,32.0,21.2,-18.6,-9.0,-4.7,26000000000.0,0.092
2020,33.1N,34.3E,43.3,27.4,-7.5,-23.5,-11.9,28000000000.0,0.098
2020,19.4N,66.0W,14.5,15.5,-13.2,8.1,1.2,97000000000.0,0.29
2020,71.7S,116.4W,27.8,12.9,9.8,-4.5,7.0,59000000000.0,0.19
2020,23.7S,125.2W,31.5,,,,,196000000000.0,0.55
2020,70.4S,17.5W,,,,,,45000000000.0,0.15
2019,56.5N,147.6W,35.5,22.2,14.9,-8.1,-14.3,65000000000.0,0.21
2019,47.7N,161.7E,37.0,17.8,13.7,-10.9,-3.3,39000000000.0,0.13
2019,3.3S,37.7W,19.5,,,,,46000000000.0,0.15
2019,5.6N,52.2W,61.5,,,,,42000000000.0,0.14
2019,35.7N,31.7W,35.0,13.0,-11.6,-2.5,-5.4,27000000000.0,0.095
2019,,,,,,,,26000000000.0,0.092
2019,22.1S,25.7E,22.5,24.7,-22.8,-5.5,7.6,25000000000.0,0.089
2019,10.4S,143.3W,38.0,27.4,5.2,12.3,23.9,110000000000.0,0.33
2019,12.0N,76.0W,40.7,,,,,27000000000.0,0.095
2019,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,206000000000.0,0.57
2019,12.5S,107.2W,52.0,20.4,-10.1,11.2,13.7,23000000000.0,0.082
2019,25.7N,28.4W,,,,,,34000000000.0,0.12
2019,38.6S,33.5W,38.0,15.9,-12.9,8.1,4.6,109000000000.0,0.33
2019,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,42000000000.0,0.14
2019,54.5N,9.2E,42.0,18.5,-18.1,-0.4,3.7,169000000000.0,0.48
2019,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,59000000000.0,0.19
2019,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,40000000000.0,0.13
2019,24.4S,92.9W,30.2,,,,,20000000000.0,0.073
2019,38.9N,7.0E,36.0,14.9,-3.9,4.0,-13.8,25000000000.0,0.089
2019,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,255000000000.0,0.69
2019,21.2N,129.5W,59.0,42.3,25.2,31.2,-13.3,32000000000.0,0.11
2019,2.5S,168.7E,,,,,,21000000000.0,0.076
2019,14.9N,66.2W,25.0,14.9,-13.4,6.0,2.5,2947000000000.0,6.0
2019,7.3N,67.6W,37.0,,,,,28000000000.0,0.098
2019,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,42000000000.0,0.14
2019,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,49000000000.0,0.16
2019,10.8N,37.3W,32.6,,,,,95000000000.0,0.29
2019,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,656000000000.0,1.6
2019,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,33000000000.0,0.11
2019,6.2N,57.1W,,,,,,21000000000.0,0.076
2019,28.4N,88.3W,26.5,,,,,22000000000.0,0.079
2019,48.8S,67.8E,33.3,11.4,3.4,-4.2,10.0,124000000000.0,0.37
2019,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,29000000000.0,0.1
2019,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,70000000000.0,0.22
2019,35.3N,93.9W,,,,,,28000000000.0,0.098
2019,41.8S,7.4W,,,,,,22000000000.0,0.079
2019,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,20000000000.0,0.073
2019,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,46000000000.0,0.15
2019,15.5S,25.3E,26.0,20.8,-16.6,-12.6,0.6,1958000000000.0,4.2
2019,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,579000000000.0,1.4
2019,,,,,,,,25000000000.0,0.089
2019,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5.0,36000000000.0,0.12
2018,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,89000000000.0,0.27
2018,56.9N,172.4E,26.0,13.6,6.3,-3.0,-31.2,31300000000000.0,49.0
2018,25.3N,6.7W,27.4,17.4,-10.1,13.9,3.0,422000000000.0,1.1
2018,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,220000000000.0,0.61
2018,42N,57W,,,,,,20000000000.0,0.073
2018,37.6S,83.5E,37.0,,,,,38000000000.0,0.13
2018,6.7S,148.6W,33.3,,,,,47000000000.0,0.16
2018,,,,,,,,26000000000.0,0.092
2018,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,38000000000.0,0.13
2018,23.5S,56.8E,33.0,16.5,-16.2,2.8,0.6,806000000000.0,1.9
2018,34.3S,44.9E,40.7,12.5,-11.0,2.5,-5.5,53000000000.0,0.17
2018,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,83000000000.0,0.26
2018,6.8S,27.8W,,,,,,150000000000.0,0.43
2018,42.5N,50.1W,,,,,,42000000000.0,0.14
2018,1.7S,141.4E,33.0,16.1,9.8,-9.6,-8.4,24000000000.0,0.086
2018,39.2S,162.9W,37.0,,,,,22000000000.0,0.079
2018,58.8S,105.8E,32.0,,,,,105000000000.0,0.32
2018,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,877000000000.0,2.1
2018,82.5N,136.7W,,,,,,211000000000.0,0.59
2018,32.0N,12.1E,63.0,14.1,-10.0,-1.0,-9.9,29000000000.0,0.1
2018,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1224000000000.0,2.8
2018,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,375000000000.0,0.98
2018,6.5S,173.7E,34.0,,,,,193000000000.0,0.54
2018,32N,60.7W,,,,,,73000000000.0,0.23
2018,46.9N,7.5W,39.0,11.5,1.3,-2.1,-11.2,38000000000.0,0.13
2018,45.5S,1.4W,34.0,13.1,8.7,-9.5,2.5,30000000000.0,0.1
2018,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,36000000000.0,0.12
2018,7.5N,3.6E,30.0,20.9,-9.1,-2.5,18.6,72000000000.0,0.23
2018,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,512000000000.0,1.3
2018,72.4N,78.7W,31.5,,,,,86000000000.0,0.27
2018,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,71000000000.0,0.22
2018,43.8S,1.1W,50.7,,,,,27000000000.0,0.095
2018,15.9S,58.9W,,,,,,39000000000.0,0.13
2018,42.9N,179.7E,43.5,,,,,259000000000.0,0.7
2018,19.4S,104.3E,37.0,16.5,8.1,-8.4,-11.7,190000000000.0,0.53
2018,14.0N,17.4W,,,,,,32000000000.0,0.11
2018,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,199000000000.0,0.56
2018,55.8N,52.5E,26.0,21.0,0.8,2.2,-20.9,28000000000.0,0.098
2018,39.5S,12.8E,26.0,,,,,36000000000.0,0.12
2017,63.5S,101.3W,64.5,,,,,44000000000.0,0.15
2017,14.6N,49.5W,38.0,,,,,110000000000.0,0.33
2017,,,,,,,,114000000000.0,0.34
2017,60.2N,170.0E,20.0,31.4,27.8,-4.7,-13.9,3114000000000.0,6.4
2017,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,28000000000.0,0.098
2017,21.3S,177.6E,42.5,,,,,558000000000.0,1.4
2017,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,24000000000.0,0.086
2017,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,33000000000.0,0.11
2017,18.3S,64.1W,,,,,,30000000000.0,0.1
2017,28.1N,99.4E,37.0,14.6,-8.5,-9.0,7.8,192000000000.0,0.54
2017,49.3N,116.9W,36.0,14.7,12.7,-6.1,-4.2,38000000000.0,0.13
2017,24.7N,118.5W,,,,,,58000000000.0,0.19
2017,6.6S,69.7W,38.0,17.2,-0.4,8.7,-14.8,35000000000.0,0.12
2017,23.1N,60.7E,35.0,13.7,-10.0,-6.5,-6.8,73000000000.0,0.23
2017,34.3S,134.5E,20.0,15.2,10.9,-9.7,4.2,94000000000.0,0.29
2017,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,184000000000.0,0.52
2017,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,636000000000.0,1.6
2017,9.1S,101.8E,46.0,18.4,-6.5,-16.5,-5.0,90000000000.0,0.28
2017,49.6S,157.6W,33.0,,,,,35000000000.0,0.12
2017,26.0S,32.4E,33.0,,,,,35000000000.0,0.12
2017,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,150000000000.0,0.43
2017,28.3N,60.2W,28.0,,,,,1263000000000.0,2.9
2017,40.5N,18.0W,23.0,36.5,-15.3,25.8,-20.8,400000000000.0,1.0
2017,26.1S,174.9E,37.0,,,,,72000000000.0,0.23
2017,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,65000000000.0,0.21
2017,50.7S,66.0W,,,,,,38000000000.0,0.13
2017,6.2N,60.4E,38.0,24.2,-6.6,-22.7,-5.3,295000000000.0,0.79
2017,27.4S,14.8W,54.0,,,,,20000000000.0,0.073
2017,10.4N,131.6E,33.5,,,,,66000000000.0,0.21
2016,21.3N,49.3E,42.0,29.7,-22.4,16.4,-10.5,38000000000.0,0.13
2016,34.5S,126.6W,,,,,,117000000000.0,0.35
2016,30.6S,93.1W,,,,,,31000000000.0,0.11
2016,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,138000000000.0,0.4
2016,39.6S,16.3W,37.0,,,,,76000000000.0,0.24
2016,36.2N,6.7E,27.8,14.2,-10.0,3.9,-9.3,31000000000.0,0.11
2016,51.8S,178.5E,40.0,17.5,-2.5,-3.3,17.0,71000000000.0,0.22
2016,3.5S,44.6E,54.0,18.3,3.5,-16.2,7.7,76000000000.0,0.24
2016,56.9S,162.2E,42.0,,,,,142000000000.0,0.41
2016,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,184000000000.0,0.52
2016,46.4N,171.6E,32.4,,,,,121000000000.0,0.36
2016,7.8N,1.6W,37.0,,,,,45000000000.0,0.15
2016,1.0N,48.6E,38.2,25.1,-10.3,-2.0,-22.8,153000000000.0,0.44
2016,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,458000000000.0,1.2
2016,17.4S,138.3E,28.7,14.5,6.0,-11.9,5.7,331000000000.0,0.87
2016,33.8N,110.9W,,,,,,172000000000.0,0.49
2016,10.2N,48.8W,32.0,,,,,69000000000.0,0.22
2016,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,20000000000.0,0.073
2016,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,519000000000.0,1.3
2016,26.2N,122.3W,33.0,,,,,101000000000.0,0.31
2016,9.8N,42.8W,50.0,,,,,146000000000.0,0.42
2016,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,224000000000.0,0.62
2016,38.3N,162.2E,,,,,,20000000000.0,0.073
2016,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,655000000000.0,1.6
2016,49.2S,6.3W,42.0,13.3,-7.6,9.1,6.0,32000000000.0,0.11
2016,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,58000000000.0,0.19
2016,32.3N,67.2E,44.0,17.9,-8.5,-1.6,-15.7,35000000000.0,0.12
2016,36.5N,37.2W,32.0,,,,,369000000000.0,0.96
2016,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,202000000000.0,0.56
2016,3.1N,117.9E,,,,,,51000000000.0,0.17
2016,30.4S,25.5W,31.0,15.6,2.7,14.5,5.0,6853000000000.0,13.0
2016,45.8S,53.6E,37.0,11.5,-10.0,-4.4,3.6,50000000000.0,0.16
2016,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,46000000000.0,0.15
2015,33.8N,160.7W,39.0,,,,,22000000000.0,0.079
2015,5.9N,143.0E,42.2,12.1,6.4,-10.0,2.5,83000000000.0,0.26
2015,69.9S,150.5E,38.0,,,,,197000000000.0,0.55
2015,16.0N,124.3E,28.0,,,,,102000000000.0,0.31
2015,41.4S,33.0E,37.0,,,,,78000000000.0,0.24
2015,9.0N,138.0W,71.0,,,,,97000000000.0,0.29
2015,85.0S,161.7W,,,,,,180000000000.0,0.51
2015,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,23000000000.0,0.082
2015,55.4S,18.8W,,,,,,30000000000.0,0.1
2015,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,36000000000.0,0.12
2015,22.0N,171.6W,36.1,,,,,44000000000.0,0.15
2015,43.1S,94.9E,,,,,,98000000000.0,0.3
2015,5.8N,15.2W,,,,,,70000000000.0,0.22
2015,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,20000000000.0,0.073
2015,14.5N,98.9E,29.3,21.0,16.8,-12.0,-3.8,1798000000000.0,3.9
2015,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18.0,37000000000.0,0.13
2015,9.6S,125.9E,,,,,,29000000000.0,0.1
2015,20.6N,87.6W,22.0,17.8,9.4,13.0,7.8,23000000000.0,0.082
2015,31.0N,159.6E,41.0,,,,,22000000000.0,0.079
2015,38.6N,103.1E,46.3,49.0,0.9,-40.4,-27.7,56000000000.0,0.18
2015,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26.0,71000000000.0,0.22
2015,1.3S,32.1W,43.5,,,,,176000000000.0,0.5
2015,11.5S,161.9W,61.1,,,,,384000000000.0,1.0
2015,6.4S,142.7W,,,,,,380000000000.0,0.99
2015,1.0N,172.6E,32.4,,,,,36000000000.0,0.12
2015,32.4N,139.1E,29.0,,,,,43000000000.0,0.14
2015,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,143000000000.0,0.42
2015,21.5S,29.3W,37.0,17.3,-16.2,-5.8,1.4,52000000000.0,0.17
2015,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,105000000000.0,0.32
2015,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,88000000000.0,0.27
2015,42.8S,8.2E,,,,,,65000000000.0,0.21
2015,25.5S,51.5E,36.3,19.2,8.0,-15.6,-7.9,173000000000.0,0.49
2015,8.4N,157.9W,,,,,,42000000000.0,0.14
2015,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,64000000000.0,0.2
2015,5.4S,159.3E,50.0,,,,,121000000000.0,0.36
2015,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16.0,72000000000.0,0.23
2015,39.1S,118.6W,,,,,,20000000000.0,0.073
2015,15.9S,88.1E,39.8,18.0,7.8,-16.0,-2.5,55000000000.0,0.18
2015,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,188000000000.0,0.53
2015,12.4N,122.4W,42.0,,,,,58000000000.0,0.19
2015,8.0S,11.2W,39.0,28.8,-28.2,3.4,4.6,33000000000.0,0.11
2015,23.3S,49.2W,,,,,,22000000000.0,0.079
2015,2.0N,28.8E,36.0,17.5,-10.7,-7.6,11.6,139000000000.0,0.41
2015,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,136000000000.0,0.4
2015,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10.0,20000000000.0,0.073
2014,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,44000000000.0,0.15
2014,33.5N,144.9E,26.3,12.0,11.5,-2.8,-2.2,33000000000.0,0.11
2014,76.6N,96.3E,26.3,,,,,78000000000.0,0.24
2014,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,700000000000.0,1.7
2014,18.8S,73.4W,38.0,,,,,55000000000.0,0.18
2014,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,118000000000.0,0.35
2014,68.2S,24.0W,37.0,19.9,-7.0,16.1,9.4,105000000000.0,0.32
2014,43.1N,115.8E,22.2,16.0,-7.2,-12.1,-7.7,156000000000.0,0.45
2014,22.2N,132.9W,,,,,,34000000000.0,0.12
2014,4.6S,66.3W,39.0,,,,,72000000000.0,0.23
2014,2.0S,119.2E,27.2,16.9,15.0,-6.9,-3.5,29000000000.0,0.1
2014,43.7S,85.7E,,,,,,39000000000.0,0.13
2014,3.2N,137.2E,32.5,,,,,28000000000.0,0.098
2014,22.7N,150.0W,,,,,,35000000000.0,0.12
2014,6.2S,49.9W,,,,,,26000000000.0,0.092
2014,3.2N,45.4W,,,,,,34000000000.0,0.12
2014,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3819000000000.0,7.6
2014,49.2S,172.2W,,,,,,73000000000.0,0.23
2014,33.9S,115.9W,,,,,,53000000000.0,0.17
2014,18.9N,141.2E,26.3,12.4,12.0,3.5,-10.5,245000000000.0,0.67
2014,71.5S,93.4E,28.5,11.2,7.0,2.9,8.3,61000000000.0,0.2
2014,21.9N,131.1W,28.7,,,,,58000000000.0,0.19
2014,39.4S,95.9W,30.8,18.0,2.9,13.4,-12.5,136000000000.0,0.4
2014,44.2S,176.2W,44.0,16.5,14.4,4.6,6.5,309000000000.0,0.82
2014,36.9S,87.3E,35.4,19.0,-2.0,-16.1,9.9,1050000000000.0,2.4
2014,28.7S,121.5E,30.7,16.3,10.0,-12.7,2.2,39000000000.0,0.13
2014,0.0N,111.8W,30.5,,,,,540000000000.0,1.3
2014,29.0S,94.9W,,,,,,94000000000.0,0.29
2014,32.8S,61.5W,,,,,,26000000000.0,0.092
2014,13.3N,110.7W,25.0,,,,,630000000000.0,1.5
2014,18.5S,141.8E,29.6,,,,,140000000000.0,0.41
2014,2.9N,64.4E,37.0,16.2,-5.2,-15.1,2.6,78000000000.0,0.24
2014,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,31000000000.0,0.11
2013,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,147000000000.0,0.43
2013,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,64000000000.0,0.2
2013,44.7N,35.3E,59.3,12.4,-5.0,-11.0,-2.7,75000000000.0,0.23
2013,19.1S,25.0W,22.2,12.8,-8.0,8.4,-5.5,1610000000000.0,3.5
2013,,,,,,,,60000000000.0,0.19
2013,10.3S,164.7W,40.7,,,,,160000000000.0,0.46
2013,34.4S,118.2E,66.6,,,,,44000000000.0,0.15
2013,,,,,,,,39000000000.0,0.13
2013,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,69000000000.0,0.22
2013,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,390000000000.0,1.0
2013,0.3N,156.2E,26.5,22.1,16.0,14.9,-3.3,120000000000.0,0.36
2013,21.0N,178.5W,37.0,,,,,20000000000.0,0.073
